hazard_label,surface_type,weather_condition,bounding_box_area_px,aspect_ratio,intensity_contrast,edge_density,depth_est_cm,repair_urgency_score,is_hazardous
Surface Crack,Asphalt,Night / Low Light,2513.5,4.53,44.77,0.786,1.1,0.456,1
Normal Clear,Asphalt,Overcast,202.9,1.07,11.07,0.093,0.0,0.02,0
Normal Clear,Asphalt,Clear,190.4,1.02,12.91,0.073,0.0,0.02,0
Road Debris,Concrete,Overcast,1296.9,1.43,48.23,0.26,5.3,0.643,1
Pothole,Concrete,Clear,5693.2,1.28,66.45,0.379,6.2,0.454,1
Pothole,Concrete,Overcast,4880.9,0.83,79.5,0.416,4.3,0.359,1
Pothole,Concrete,Clear,4782.5,0.2,58.31,0.389,9.3,0.62,1
Normal Clear,Concrete,Clear,183.5,1.49,15.34,0.061,0.0,0.02,0
Road Debris,Asphalt,Rainy,1684.8,1.3,48.33,0.307,7.6,0.346,1
Normal Clear,Asphalt,Overcast,205.1,1.1,5.57,0.092,0.0,0.02,0
Pothole,Asphalt,Clear,5787.5,0.94,79.58,0.476,10.4,0.608,1
Normal Clear,Concrete,Clear,227.2,0.93,7.52,0.098,0.0,0.02,0
Normal Clear,Asphalt,Overcast,155.4,1.0,8.93,0.083,0.0,0.02,0
Pothole,Concrete,Clear,2018.8,1.27,83.57,0.279,8.2,0.384,1
Pothole,Asphalt,Clear,5824.5,1.08,67.24,0.459,9.5,0.607,1
Pothole,Asphalt,Clear,5879.0,0.74,71.53,0.438,15.3,0.932,1
Surface Crack,Asphalt,Clear,1396.3,4.53,52.15,0.714,1.5,0.351,1
Road Debris,Asphalt,Overcast,1885.9,0.97,57.34,0.275,4.3,0.563,1
Surface Crack,Concrete,Night / Low Light,1671.3,0.2,39.39,0.562,1.0,0.448,1
Surface Crack,Concrete,Rainy,2255.4,5.78,42.47,0.586,3.4,0.661,1
Road Debris,Asphalt,Overcast,2050.1,1.72,52.66,0.288,3.4,0.48,1
Pothole,Asphalt,Rainy,6483.3,1.41,77.71,0.549,4.3,0.489,1
Surface Crack,Asphalt,Clear,2419.0,2.25,48.56,0.735,1.3,0.48,1
Surface Crack,Asphalt,Clear,2191.1,3.59,49.37,0.648,2.8,0.532,1
Surface Crack,Asphalt,Clear,1363.9,2.83,47.66,0.517,3.3,0.656,1
Normal Clear,Concrete,Clear,88.5,1.11,9.36,0.049,0.0,0.02,0
Pothole,Asphalt,Overcast,3893.6,1.61,63.63,0.596,17.9,0.761,1
Road Debris,Asphalt,Night / Low Light,3973.5,0.93,42.14,0.203,9.0,0.507,1
Road Debris,Asphalt,Clear,3141.0,1.41,56.5,0.301,2.2,0.352,1
Pothole,Asphalt,Rainy,4641.2,0.7,100.52,0.462,17.0,0.806,1
Road Debris,Asphalt,Night / Low Light,4119.2,1.36,52.18,0.339,9.9,0.688,1
Pothole,Asphalt,Overcast,5375.8,1.62,68.26,0.445,5.6,0.421,1
Pothole,Asphalt,Overcast,5345.0,1.44,87.6,0.247,8.9,0.545,1
Normal Clear,Asphalt,Rainy,215.7,1.14,7.9,0.098,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,223.4,0.99,22.4,0.028,0.0,0.02,0
Normal Clear,Asphalt,Rainy,184.7,1.23,15.57,0.074,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1625.7,4.29,51.53,0.71,3.1,0.576,1
Pothole,Gravel,Clear,4917.7,1.53,64.45,0.517,11.1,0.553,1
Normal Clear,Asphalt,Clear,159.7,1.01,12.42,0.061,0.0,0.02,0
Surface Crack,Asphalt,Rainy,1765.3,5.04,45.91,0.571,1.5,0.459,1
Pothole,Asphalt,Clear,4270.1,1.43,68.45,0.469,4.1,0.389,1
Surface Crack,Asphalt,Clear,995.7,3.45,46.15,0.467,1.3,0.452,1
Pothole,Asphalt,Night / Low Light,2911.7,1.63,58.13,0.252,11.9,0.663,1
Normal Clear,Concrete,Clear,178.9,0.96,12.62,0.068,0.0,0.02,0
Pothole,Concrete,Rainy,4641.1,1.25,61.05,0.348,14.0,0.794,1
Normal Clear,Asphalt,Rainy,196.5,1.06,9.85,0.108,0.0,0.02,0
Surface Crack,Asphalt,Overcast,2105.0,2.68,42.06,0.732,1.7,0.473,1
Road Debris,Asphalt,Rainy,3077.8,1.39,57.18,0.251,6.5,0.332,1
Road Debris,Concrete,Clear,2050.1,1.61,64.86,0.339,2.9,0.731,1
Pothole,Asphalt,Rainy,3719.2,1.1,92.03,0.395,16.2,0.728,1
Normal Clear,Asphalt,Overcast,198.4,0.84,7.27,0.083,0.0,0.02,0
Normal Clear,Asphalt,Overcast,62.1,1.12,1.0,0.049,0.0,0.02,0
Normal Clear,Asphalt,Clear,228.8,0.86,9.95,0.118,0.0,0.02,0
Normal Clear,Asphalt,Clear,110.4,1.15,16.7,0.094,0.0,0.02,0
Road Debris,Asphalt,Overcast,1199.6,1.26,82.14,0.271,7.7,0.799,1
Normal Clear,Asphalt,Clear,120.4,1.07,9.67,0.092,0.0,0.02,0
Pothole,Concrete,Rainy,2915.9,1.13,83.43,0.415,17.3,0.727,1
Pothole,Asphalt,Clear,6061.2,0.72,78.63,0.268,8.1,0.607,1
Pothole,Asphalt,Clear,2177.5,1.04,83.97,0.41,5.7,0.31,1
Surface Crack,Concrete,Clear,2145.1,3.18,34.89,0.55,2.3,0.506,1
Surface Crack,Asphalt,Clear,2467.6,3.72,45.68,0.622,2.8,0.601,1
Pothole,Asphalt,Night / Low Light,4859.7,1.29,69.96,0.423,4.2,0.267,1
Normal Clear,Asphalt,Overcast,136.3,0.91,9.24,0.094,0.0,0.02,0
Surface Crack,Asphalt,Clear,2586.4,5.09,34.95,0.779,3.2,0.644,1
Surface Crack,Concrete,Overcast,752.2,3.38,40.99,0.803,2.4,0.553,1
Road Debris,Asphalt,Clear,2342.8,2.04,53.1,0.351,7.2,0.23,1
Pothole,Asphalt,Rainy,3085.6,1.24,86.39,0.33,4.5,0.266,1
Normal Clear,Asphalt,Clear,77.8,1.09,13.65,0.052,0.0,0.02,0
Pothole,Asphalt,Overcast,5845.2,1.44,79.71,0.421,17.1,0.941,1
Normal Clear,Concrete,Night / Low Light,207.7,0.83,9.39,0.06,0.0,0.02,0
Normal Clear,Asphalt,Night / Low Light,145.7,1.01,13.3,0.139,0.0,0.02,0
Pothole,Asphalt,Overcast,5365.5,1.05,67.96,0.54,9.8,0.651,1
Pothole,Concrete,Rainy,3563.8,1.42,61.29,0.383,9.2,0.526,1
Normal Clear,Asphalt,Overcast,165.6,1.27,4.96,0.052,0.0,0.02,0
Normal Clear,Concrete,Night / Low Light,190.3,1.04,12.18,0.118,0.0,0.02,0
Normal Clear,Concrete,Overcast,99.5,0.85,8.61,0.02,0.0,0.02,0
Normal Clear,Concrete,Rainy,156.6,0.9,9.07,0.053,0.0,0.02,0
Pothole,Asphalt,Clear,4478.7,0.96,70.66,0.457,14.1,0.724,1
Surface Crack,Asphalt,Rainy,2525.5,3.77,58.11,0.741,3.5,0.679,1
Pothole,Concrete,Clear,2917.9,1.03,67.42,0.489,11.7,0.678,1
Normal Clear,Asphalt,Rainy,148.3,0.9,11.31,0.101,0.0,0.02,0
Road Debris,Asphalt,Rainy,3650.1,1.73,56.02,0.39,10.6,0.589,1
Surface Crack,Concrete,Rainy,1650.5,2.92,37.42,0.506,1.2,0.397,1
Pothole,Concrete,Clear,7045.2,1.49,39.38,0.375,16.8,0.945,1
Surface Crack,Asphalt,Clear,1195.1,3.77,27.71,0.776,0.9,0.251,1
Surface Crack,Asphalt,Rainy,824.9,3.89,41.68,0.8,2.4,0.584,1
Normal Clear,Asphalt,Overcast,208.0,0.53,9.54,0.125,0.0,0.02,0
Road Debris,Concrete,Clear,1316.7,1.98,54.82,0.296,3.4,0.507,1
Normal Clear,Gravel,Clear,77.9,1.19,15.81,0.104,0.0,0.02,0
Surface Crack,Asphalt,Night / Low Light,1422.5,3.02,34.66,0.658,1.4,0.396,1
Pothole,Asphalt,Rainy,3928.2,1.38,60.48,0.438,8.6,0.507,1
Normal Clear,Concrete,Clear,159.2,0.8,12.42,0.085,0.0,0.02,0
Normal Clear,Asphalt,Clear,74.8,1.2,8.47,0.083,0.0,0.02,0
